chr	SHAPEIT4_INI	SHAPEIT4_END	EAGLE2_INI	EAGLE2_END
1	55550	249218992	55550	249218992
2	12994	243090997	12994	243090997
3	61113	197874528	61113	197874528
4	12906	191028645	18584	191028645
5	20583	180715810	20583	180715810
6	92012	171051316	92012	171011218
7	35326	159126774	35411	159126774
8	163784	146301156	163784	146301156
9	40910	141109979	40910	141109979
10	72765	135503693	72765	135503693
11	198062	134945522	198510	134945522
12	148673	133778796	148673	133778796
13	19021222	115106996	19031308	115106996
14	19619850	107288377	19619850	107288377
15	20014981	102506108	20014981	102506108
16	84045	90163588	84170	90163588
17	13043	81045269	13043	81045269
18	11523	78015180	11523	78015180
19	253938	59097160	253938	59097160
20	61795	62949445	61795	62949445
21	10865933	48100155	10865933	48100155
22	16051347	51229805	16051347	51229805
X	2703391	154929412	2703391	154929412
X_par1	150118	2695340	150118	2695340
X_par2	154969038	155235078	154969038	155235078
